,,ИНН   2508064248,,,,,,,,,,,,Форма по КНД,,,,0710096
,,КПП   254301001,,,,,,,,,,,,Форма по ОКУД,,,,0710001
Бухгалтерский баланс,,,,,,,,,,,,,,,,,,
Пояснения1,,,Наименование показателя,,,,Код строки,,На 31 декабря 2022 года,,,На 31 декабря 2021 год,,,,На 31 декабря 2020 года,,
1,,,2,,,,3,,4,,,5,,,,6,,
АКТИВ,,,,,,,,,,,,,,,,,,
 ,,,Материальные внеоборотные активы2,,,,1150,,219,,,,369,,,,119,
 ,,,"Нематериальные, финансовые и другие внеоборотные активы3",,,,1170,,34,,,,34,,,,33,
 ,,,Запасы,,,,1210,,4 434,,,,252,,,,258,
 ,,,Денежные средства и денежные эквиваленты,,,,1250,,557,,,,1 622,,,,4 847,
 ,,,Финансовые и другие оборотные активы4,,,,1230,,23 968,,,,37 822,,,,27 282,
 ,,,БАЛАНС,,,,1600,,29 212,,,,40 099,,,,32 539,
ПАССИВ,,,,,,,,,,,,,,,,,,
 ,,,Капитал и резервы5,,,,1300,,17 181,,,,26 076,,,,23 467,
 ,,,Целевые средства,,,,1350,,-,,,,-,,,,-,
 ,,,Фонд недвижимого и особо ценного движимого имущества и иные целевые фонды,,,,1360,,-,,,,-,,,,-,
 ,,,Долгосрочные заемные средства,,,,1410,,7 702,,,,1 572,,,,3 019,
 ,,,Другие долгосрочные обязательства,,,,1450,,-,,,,-,,,,-,
 ,,,Краткосрочные заемные средства,,,,1510,,50,,,,50,,,,200,
 ,,,Кредиторская задолженность,,,,1520,,4 279,,,,12 401,,,,5 854,
 ,,,Другие краткосрочные обязательства,,,,1550,,-,,,,-,,,,-,
 ,,,БАЛАНС,,,,1700,,29 212,,,,40 099,,,,32 539,
,,,,,,,,,,,,,,,,,,
"1 Указывается номер соответствующего пояснения к бухгалтерскому балансу.
2 Включая основные средства, незавершенные капитальные вложения в основные средства.
3 Включая результаты исследований и разработок, незавершенные капитальные вложения в нематериальные.
4 Включая дебиторскую задолженность.
5 Некоммерческая организация вместо показателей ""Капиталы и резервы"" включает ""Целевые средства"", ""Фонд недвижимого и особо ценного движимого имущества и иные целевые фонды"".",,,,,,,,,,,,,,,,,,
